# Real prosumer PV generation + load, 30-second resolution.
#
# Source: Venizelou et al. (2023). Photovoltaic Generation and Load Demand
#   Datasets with 30 seconds resolution from an Actual Prosumer in Cyprus
#   [Dataset]. Zenodo. https://doi.org/10.5281/zenodo.8348862
# License: Creative Commons Attribution 4.0 International (CC BY 4.0).
#
# Excerpt: a 7-hour midday window (2022-09-01 09:00-16:00) of the 'Ppv'
#   (PV) and 'Pload' channels. A partly-cloudy day: strong PV with frequent
#   cloud-driven dips (far richer than a synthetic half-sine). The eval
#   scales both columns to a balcony-system size. See traces/README.md.
#
# columns: t_s (seconds from window start), load_w, pv_w
t_s,load_w,pv_w
21780,4079,2857
21810,4078,2849
21840,4075,2847
21870,4043,2852
21900,4100,2843
21930,4137,2804
21960,4115,2824
21990,4273,2817
22020,4200,2804
22050,4155,2813
22080,763,2808
22110,649,2803
22140,651,2786
22170,498,2782
22200,501,2776
22230,489,2761
22260,551,2771
22290,545,2764
22320,537,2756
22350,419,2749
22380,416,2735
22410,437,2743
22440,850,2735
22470,897,2727
22500,883,2729
22530,876,2722
22560,789,2724
22590,763,2728
22620,751,2713
22650,752,2713
22680,706,2699
22710,713,2707
22740,699,2703
22770,735,2707
22800,758,2698
22830,753,2693
22860,747,2688
22890,732,2680
22920,763,2673
22950,774,2671
22980,781,2668
23010,753,2649
23040,883,2657
23070,989,2643
23100,996,2634
23130,888,2628
23160,869,2635
23190,876,2618
23220,850,2610
23250,849,2603
23280,826,2601
23310,845,2600
23340,841,2579
23370,828,2576
23400,826,2561
23430,850,2562
23460,830,2558
23490,827,2548
23520,851,2547
23550,864,2555
23580,839,2541
23610,840,2534
23640,857,2533
23670,835,2526
23700,846,2517
23730,815,2505
23760,839,2488
23790,824,2475
23820,825,2475
23850,805,2470
23880,832,2469
23910,842,2468
23940,837,2469
23970,833,2462
24000,830,2457
24030,822,2442
24060,814,2432
24090,833,2432
24120,856,2424
24150,871,2414
24180,824,2403
24210,843,2397
24240,829,2388
24270,814,2378
24300,854,2371
24330,846,2362
24360,849,2363
24390,847,2360
24420,839,2358
24450,850,2337
24480,829,2318
24510,827,2312
24540,834,2305
24570,813,2289
24600,835,2295
24630,848,2302
24660,812,2300
24690,833,2299
24720,806,2285
24750,806,2270
24780,799,2268
24810,816,2278
24840,721,2259
24870,708,2243
24900,699,2235
24930,697,2224
24960,649,2229
24990,636,2214
25020,643,2212
25050,644,2207
25080,614,2201
25110,619,2188
25140,600,2194
25170,607,2190
